x_m,r_m
0.00000000,0.00000000
0.00000000,0.00187443
0.00941906,0.01722006
0.01883811,0.03256807
0.02825717,0.04791611
0.03767623,0.05763255
0.04709528,0.06657866
0.05651434,0.07556227
0.06593339,0.08454635
0.07535245,0.09353077
0.08477151,0.10251544
0.09419056,0.11150029
0.10360962,0.12051811
0.11302868,0.12709038
0.12244773,0.13272325
0.13186679,0.13851618
0.14128585,0.14431044
0.15070490,0.15010588
0.16012396,0.15590236
0.16954302,0.16169978
0.17896207,0.16749803
0.18838113,0.17189460
0.19780018,0.17511852
0.20721924,0.17855336
0.21663830,0.18201779
0.22605735,0.18548382
0.23547641,0.18895137
0.24489547,0.19242035
0.25431452,0.19589069
0.26373358,0.19838023
0.27315264,0.19931954
0.28257169,0.20042580
0.29199075,0.20162913
0.30140981,0.20283426
0.31082886,0.20404115
0.32024792,0.20524976
0.32966697,0.20646008
0.33908603,0.20740758
0.34850509,0.20737016
0.35792414,0.20733346
0.36734320,0.20729749
0.37676226,0.20726223
0.38618131,0.20722770
0.39560037,0.20719389
0.40501943,0.20716081
0.41443848,0.20712844
0.42385754,0.20709680
0.43327660,0.20706589
0.44269565,0.20703570
0.45211471,0.20702237
0.46153376,0.20703031
0.47095282,0.20703829
0.48037188,0.20704632
0.48979093,0.20705439
0.49920999,0.20706251
0.50862905,0.20707067
0.51804810,0.20707888
0.52746716,0.20708713
0.53688622,0.20709543
0.54630527,0.20710378
0.55572433,0.20711217
0.56514338,0.20712060
0.57456244,0.20712908
0.58398150,0.20713760
0.59340055,0.20714617
0.60281961,0.20715479
0.61223867,0.20716345
0.62165772,0.20717215
0.63107678,0.20718090
0.64049584,0.20718970
0.64991489,0.20719854
0.65933395,0.20720743
0.66875301,0.20721636
0.67817206,0.20722533
0.68759112,0.20723435
0.69701017,0.20724342
0.70642923,0.20725253
0.71584829,0.20726169
0.72526734,0.20727089
0.73468640,0.20728014
0.74410546,0.20728943
0.75352451,0.20729877
0.76294357,0.20730815
0.77236263,0.20731757
0.78178168,0.20732705
0.79120074,0.20733656
0.80061980,0.20734612
0.81003885,0.20735573
0.81945791,0.20739205
0.82887696,0.20556747
0.83829602,0.20022005
0.84771508,0.19488274
0.85713413,0.18955641
0.86655319,0.18424200
0.87597225,0.17894056
0.88539130,0.17367578
0.89481036,0.16856641
0.90422942,0.16347409
0.91364847,0.15840048
0.92306753,0.15334742
0.93248659,0.15170844
0.94190564,0.15168592
0.95132470,0.15166375
0.96074375,0.15164194
0.97016281,0.15162048
0.97958187,0.15159938
0.98900092,0.15157863
0.99841998,0.15155824
1.00783904,0.15153820
1.01725809,0.15151852
1.02667715,0.15149920
1.03609621,0.15148023
1.04551526,0.15146162
1.05493432,0.15144336
1.06435337,0.15142546
1.07377243,0.15140792
1.08319149,0.15139074
1.09261054,0.15137391
1.10202960,0.15135743
1.11144866,0.15134132
1.12086771,0.15132556
1.13028677,0.15131016
1.13970583,0.15129512
1.14912488,0.15128043
1.15854394,0.15126610
1.16796300,0.15125213
1.17738205,0.15123852
1.18680111,0.15122527
1.19622016,0.15121237
1.20563922,0.15119983
1.21505828,0.15118765
1.22447733,0.15118511
1.23389639,0.15119683
1.24331545,0.15120891
1.25273450,0.15122135
1.26215356,0.15123414
1.27157262,0.15124730
1.28099167,0.15126081
1.29041073,0.15127468
1.29982979,0.15128891
1.30924884,0.15130350
1.31866790,0.15131844
1.32808695,0.15133374
1.33750601,0.15134940
1.34692507,0.15136541
1.35634412,0.15138179
1.36576318,0.15139852
1.37518224,0.15141560
1.38460129,0.15143304
1.39402035,0.15145084
1.40343941,0.15146900
1.41285846,0.15148751
1.42227752,0.15150638
1.43169657,0.15152561
1.44111563,0.15154519
1.45053469,0.15156512
1.45995374,0.15158541
1.46937280,0.15160606
1.47879186,0.15162706
1.48821091,0.15164842
1.49762997,0.15167014
1.50704903,0.15169220
1.51646808,0.15171463
1.52588714,0.15170628
1.53530620,0.15167690
1.54472525,0.15164814
1.55414431,0.15161998
1.56356336,0.15159243
1.57298242,0.15156549
1.58240148,0.15153916
1.59182053,0.15151344
